"movie","chapter","character","dialog"
"Harry Potter and the Order of the Phoenix","","Dudley Dursley","Oh, it's you."
"Harry Potter and the Order of the Phoenix","","Gang thug","What should we do with him, Big D?"
"Harry Potter and the Order of the Phoenix","","Harry Potter","Big D? Cool name, but to me, you'll always be Ikkle Duddicums."
"Harry Potter and the Order of the Phoenix","","Dudley Dursley","Shut up!"
"Harry Potter and the Order of the Phoenix","","Dudley Dursley","Ooo, tough guy. Not so tough in your bed, are you?"
"Harry Potter and the Order of the Phoenix","","Harry Potter","What?"
"Harry Potter and the Order of the Phoenix","","Arabella Figg","You boys go home now, or I'll be calling your parents!"
"Harry Potter and the Order of the Phoenix","","Dudley Dursley","I heard you talking in your sleep, last night. Crying. ""No, don't kill Cedric, don't kill Cedric! Dad, help me, heeelp me! He's going to kill me! Boo-hoo!"""
"Harry Potter and the Order of the Phoenix","","Harry Potter","Shut up, Dudley. I'm warning you..."
"Harry Potter and the Order of the Phoenix","","Dudley Dursley","Why should I?"
"Harry Potter and the Order of the Phoenix","","Harry Potter","Because if you don't I'll turn you into the idiot pig you are!"
"Harry Potter and the Order of the Phoenix","","Harry Potter","Not so brave now, are you Duddykins? Now tell your little friends to go away."
"Harry Potter and the Order of the Phoenix","","Dudley Dursley","G-go home!"
"Harry Potter and the Order of the Phoenix","","Gang thug","What?"
"Harry Potter and the Order of the Phoenix","","Dudley Dursley","Get out of here!"
"Harry Potter and the Order of the Phoenix","","Harry Potter","Don't you ever speak about that again. You understand?"
"Harry Potter and the Order of the Phoenix","","Dudley Dursley","Don't point that thing at me!"
"Harry Potter and the Order of the Phoenix","","Harry Potter","I said, DO YOU UNDERSTAND? !"
"Harry Potter and the Order of the Phoenix","","Dudley Dursley","What's happening?"
"Harry Potter and the Order of the Phoenix","","Harry Potter","Quiet!"
"Harry Potter and the Order of the Phoenix","","Harry Potter","Dudley! Run!"
"Harry Potter and the Order of the Phoenix","","Harry Potter","Come on! They break into a run. A dementor drifts into the alleyway in front of them. Skidding to a stop, Harry turns around, to find the other dementor cutting off the way back."
"Harry Potter and the Order of the Phoenix","","Harry Potter","Dudley, no!"
"Harry Potter and the Order of the Phoenix","","Harry Potter","Lumos!"
