"movie","scene","character","dialog"
"Harry Potter and the Philosopher's Stone","Doorstep Delivery","Dumbledore","I should have known that you would be here...Professor McGonagall."
"Harry Potter and the Philosopher's Stone","Doorstep Delivery","McGonagall","Good evening, Professor Dumbledore. Are the rumours true, Albus?"
"Harry Potter and the Philosopher's Stone","Doorstep Delivery","Dumbledore","I'm afraid so, Professor. The good, and the bad."
"Harry Potter and the Philosopher's Stone","Doorstep Delivery","McGonagall","And the boy?"
"Harry Potter and the Philosopher's Stone","Doorstep Delivery","Dumbledore","Hagrid is bringing him."
"Harry Potter and the Philosopher's Stone","Doorstep Delivery","McGonagall","Do you think it wise to trust Hagrid with something as important as this?"
"Harry Potter and the Philosopher's Stone","Doorstep Delivery","Dumbledore","Ah, Professor, I would trust Hagrid with my life."
"Harry Potter and the Philosopher's Stone","Doorstep Delivery","Hagrid","Professor Dumbledore, Sir. Professor McGonagall."
"Harry Potter and the Philosopher's Stone","Doorstep Delivery","Dumbledore","No problems, I trust, Hagrid?"
"Harry Potter and the Philosopher's Stone","Doorstep Delivery","Hagrid","No, sir. Little tyke fell asleep just as we were flying over Bristol. Heh. Try not to wake him. There you go."
"Harry Potter and the Philosopher's Stone","Doorstep Delivery","McGonagall","Albus, do you really think it's safe, leaving him with these people? I've watched them all day. They're the worst sort of Muggles imaginable. They really are..."
"Harry Potter and the Philosopher's Stone","Doorstep Delivery","Dumbledore","The only family he has."
"Harry Potter and the Philosopher's Stone","Doorstep Delivery","McGonagall","This boy will be famous. There won't be a child in our world who doesn't know his name."
"Harry Potter and the Philosopher's Stone","Doorstep Delivery","Dumbledore","Exactly. He's better off growing up away from all that. Until he is ready."
"Harry Potter and the Philosopher's Stone","Doorstep Delivery","Dumbledore","There, there, Hagrid. It's not really goodbye, after all."
"Harry Potter and the Philosopher's Stone","Doorstep Delivery","Dumbledore","Good luck...Harry Potter."
"Harry Potter and the Philosopher's Stone","The Vanishing Glass","Petunia","Up. Get up.  Now!"
"Harry Potter and the Philosopher's Stone","The Vanishing Glass","Dudley","Wake up, cousin! We're going to the zoo!"
"Harry Potter and the Philosopher's Stone","The Vanishing Glass","Petunia","Oh, here he comes, the birthday boy!"
"Harry Potter and the Philosopher's Stone","The Vanishing Glass","Vernon","Happy birthday, son."
"Harry Potter and the Philosopher's Stone","The Vanishing Glass","Petunia","Why don't you just cook the breakfast, and try not to burn anything."
"Harry Potter and the Philosopher's Stone","The Vanishing Glass","Harry","Yes, Aunt Petunia."
"Harry Potter and the Philosopher's Stone","The Vanishing Glass","Petunia","I want everything to be perfect for my Dudley's special day."
"Harry Potter and the Philosopher's Stone","The Vanishing Glass","Vernon","Hurry up! Bring my coffee, boy!"
"Harry Potter and the Philosopher's Stone","The Vanishing Glass","Harry","Yes, Uncle Vernon."
"Harry Potter and the Philosopher's Stone","The Vanishing Glass","Petunia","Aren’t they wonderful, darling?"
"Harry Potter and the Philosopher's Stone","The Vanishing Glass","Dudley","How many are there?"
"Harry Potter and the Philosopher's Stone","The Vanishing Glass","Vernon","Thirty-six. Counted 'em myself."
"Harry Potter and the Philosopher's Stone","The Vanishing Glass","Dudley","Thirty-six?! But last year last year I had thirty-seven!!"
"Harry Potter and the Philosopher's Stone","The Vanishing Glass","Vernon","Err yes, well, some of them are quite a bit bigger than last year."
"Harry Potter and the Philosopher's Stone","The Vanishing Glass","Dudley","I don't care how big they are!"
"Harry Potter and the Philosopher's Stone","The Vanishing Glass","Petunia","Oh, now, now, now. This is what we're going to do, is that when we go out, we're going to buy you two new presents! How's that, pumpkin?"
"Harry Potter and the Philosopher's Stone","The Vanishing Glass","Petunia","This will be a lovely day at the zoo. I'm really looking forward to it."
"Harry Potter and the Philosopher's Stone","The Vanishing Glass","Vernon","I'm warning you now, boy. Any funny business, any at all, and you won't have any meals for a week. Get in."
"Harry Potter and the Philosopher's Stone","The Vanishing Glass","Dudley","Make it move."
"Harry Potter and the Philosopher's Stone","The Vanishing Glass","Vernon","Move!"
"Harry Potter and the Philosopher's Stone","The Vanishing Glass","Dudley","MOVE!"
"Harry Potter and the Philosopher's Stone","The Vanishing Glass","Harry","He's asleep!"
"Harry Potter and the Philosopher's Stone","The Vanishing Glass","Dudley","He's boring."
"Harry Potter and the Philosopher's Stone","The Vanishing Glass","Harry","Sorry about him. He doesn't understand what it's like, lying there day after day, having people press their ugly faces in on you.  Can you...hear me?  It's just...I've never talked to a snake before. Do you...I mean...do you talk to people often?  You're from Burma, aren't you? Was it nice there, do you miss your family?  I see. That's me as well. I never knew my parents, either."
"Harry Potter and the Philosopher's Stone","The Vanishing Glass","Dudley","Mummy, dad, come here! You won't believe what this snake is doing!"
"Harry Potter and the Philosopher's Stone","The Vanishing Glass","Dudley","Whoa! Ahh! Ahh!!"
"Harry Potter and the Philosopher's Stone","The Vanishing Glass","Snake","Thanks."
"Harry Potter and the Philosopher's Stone","The Vanishing Glass","Harry","Anytime."
"Harry Potter and the Philosopher's Stone","The Vanishing Glass","Man","SNAKE!"
"Harry Potter and the Philosopher's Stone","The Vanishing Glass","Dudley","Mum, mummy!"
"Harry Potter and the Philosopher's Stone","The Vanishing Glass","Petunia","AHH!"
"Harry Potter and the Philosopher's Stone","The Vanishing Glass","Dudley","Mum, help! Help me!"
"Harry Potter and the Philosopher's Stone","The Vanishing Glass","Petunia","My darling boy! How did you get in there?! How did you get in there? Dursley, oh, Dursley!"
"Harry Potter and the Philosopher's Stone","Letters from No One","Petunia","It's all right. It's all right."
"Harry Potter and the Philosopher's Stone","Letters from No One","Harry","Ow!"
"Harry Potter and the Philosopher's Stone","Letters from No One","Vernon","What happened?!"
"Harry Potter and the Philosopher's Stone","Letters from No One","Harry","I swear I don't know!  One minute, the glass was there and then it was gone! It was like magic!"
"Harry Potter and the Philosopher's Stone","Letters from No One","Vernon","There's no such thing as magic!"
"Harry Potter and the Philosopher's Stone","Letters from No One","Petunia","Awww, smile.  Vernon, just look at him. I can't believe it. In just a week you'll be off to Smeltings."
